rarity;index;error
1;49.6931;4.54747e-13
1;6410.41;4.54747e-13
1;12771.1;6.82121e-13
1;19131.8;1.13687e-13
1;0;1.13687e-13
2;49.6931;4.92366e+72
2;6410.41;6.94187e+12
2;12771.1;2.39401
2;19131.8;7.3917e+13
2;0;1.13687e-13
10;49.6931;1.54528e+13
10;6410.41;104.718
10;12771.1;14.9372
10;19131.8;1486.2
10;0;0
20;49.6931;3.45556e+06
20;6410.41;199.259
20;12771.1;36.8492
20;19131.8;194.194
20;0;0
50;49.6931;26.7245
50;6410.41;15.1365
50;12771.1;9.40463
50;19131.8;7.70531
50;0;0
