rarity;index;error
1;59.3354;3.97904e-12
1;7654.26;2.27374e-13
1;15249.2;0
1;22844.1;0
1;0;4.54747e-13
2;59.3354;1.43108e+72
2;7654.26;2.01216e+12
2;15249.2;0.318054
2;22844.1;2.19573e+13
2;0;2.27374e-13
10;59.3354;3.77198e+11
10;7654.26;5.0444
10;15249.2;0.535769
10;22844.1;32.7601
10;0;2.27374e-13
20;59.3354;114183
20;7654.26;6.54611
20;15249.2;0.670517
20;22844.1;10.6233
20;0;2.27374e-13
50;59.3354;16.6311
50;7654.26;0.880537
50;15249.2;0.64374
50;22844.1;8.13867
50;0;1.13687e-13
