rarity;index;error
1;0;4.54747e-13
1;0.25;4.54747e-13
1;0.5;6.82121e-13
1;0.75;1.13687e-13
1;1;1.13687e-13
2;0;4.92366e+72
2;0.25;6.94187e+12
2;0.5;2.39401
2;0.75;7.3917e+13
2;1;1.13687e-13
10;0;1.54528e+13
10;0.25;104.718
10;0.5;14.9372
10;0.75;1486.2
10;1;0
20;0;3.45556e+06
20;0.25;199.259
20;0.5;36.8492
20;0.75;194.194
20;1;0
50;0;26.7245
50;0.25;15.1365
50;0.5;9.40463
50;0.75;7.70531
50;1;0
