rarity;index;error
1;0;1.13687e-12
1;0.25;3.97904e-13
1;0.5;1.25056e-12
1;0.75;5.11591e-13
1;1;3.41061e-13
2;0;1.20944e+72
2;0.25;1.86784e+12
2;0.5;0.508131
2;0.75;1.36991e+13
2;1;3.41061e-13
10;0;1.01167e+11
10;0.25;1.67448
10;0.5;0.101086
10;0.75;23.0841
10;1;5.68434e-14
20;0;60005.9
20;0.25;3.64146
20;0.5;0.303693
20;0.75;4.2987
20;1;5.68434e-14
50;0;0.383053
50;0.25;2.35119
50;0.5;0.0278029
50;0.75;2.17602
50;1;0
