rarity;index;error
1;0;3.97904e-12
1;0.25;2.27374e-13
1;0.5;0
1;0.75;0
1;1;4.54747e-13
2;0;1.43108e+72
2;0.25;2.01216e+12
2;0.5;0.318054
2;0.75;2.19573e+13
2;1;2.27374e-13
10;0;3.77198e+11
10;0.25;5.0444
10;0.5;0.535769
10;0.75;32.7601
10;1;2.27374e-13
20;0;114183
20;0.25;6.54611
20;0.5;0.670517
20;0.75;10.6233
20;1;2.27374e-13
50;0;16.6311
50;0.25;0.880537
50;0.5;0.64374
50;0.75;8.13867
50;1;1.13687e-13
